OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
4770,78054,19203,23748.24519,19973811.98
4771,78056,14548,50383.12202,52944208.33
4772,54497,11011,112309.6904,322121877.3
4773,54528,2379,31311.23205,33899895.61
4774,54472,5919,113313.1833,194001557
4775,54426,4599,150991.7663,234686174.1
4776,54523,2342,43530.73407,42191368.15
4777,54347,2239,40739.22061,38996349.61
4778,54539,896,18347.137,14624334.27
4779,54498,1981,49371.12785,46312826.11
4780,54534,1323,53213.26055,76034901.64
4781,54483,693,42895.87465,49047717.03
4782,54524,1323,28386.77173,22161042.2
4783,54349,1046,29757.4131,24207812.89
4784,54516,18724,78375.55739,136899475
4785,54536,2322,35742.90391,35781826.3
4786,54492,3068,65431.73292,61305883.21
4787,54531,2626,81864.19322,113882215.9
4788,54484,1496,25877.81277,29164064.2
4789,54526,1979,53340.65878,72988329.33
4790,54470,8730,55252.6947,85940363.62
4791,77716,10372,69479.4955,128871280.8
4792,54424,2282,72150.53203,77978860.8
4793,54518,14422,232058.5338,417756296.6
4794,59199,18052,52050.82149,97725182.01
4795,59757,14210,87697.03868,176131190
4796,59755,17893,27011.96804,32432622.23
4797,59821,18513,49403.02553,78680108.44
4798,59759,14156,33130.69134,46837516.38
4799,59823,9671,70833.72135,163325810.5
4800,54459,1452,46768.70692,38210236.29
4801,54341,2465,36199.1589,37681827.54
4802,54318,1649,28964.67436,15488335.07
4803,54346,2245,52116.48073,53447675.38
4804,54295,16026,30475.4393,11531430.7
4805,54427,1954,53646.22006,66847365.76
4806,54313,2956,37839.80705,58531791.89
4807,54456,2758,43599.99624,32700501.3
4808,54338,6901,52397.99511,77801959.47
4809,54421,2609,39461.59747,58889144.92
4810,54343,2680,23115.42546,25575556.96
4811,54293,14881,71459.91097,98179841.06
4812,54453,2245,45969.53423,39732051
4813,54331,1959,37040.01051,30014871.26
4814,54411,6144,67818.90001,91991088.41
4815,54306,2104,50321.3171,41283579.09
4816,54441,9119,194668.3427,211012054
4817,54320,2056,29677.11096,29799940.71
4818,54296,19955,77408.41542,74468243.43
4819,54429,3248,74386.36031,141636320.5
4820,54314,3835,79178.71584,152945332.1
4821,54457,1752,42149.69175,45408973.9
4822,54340,8527,121579.9609,168568736
4823,54344,2566,14494.91894,9479471.908
4824,54294,21396,52449.42094,62775929.34
4825,54311,3669,40715.20135,44155486.42
4826,54455,1633,41727.99069,41863165.82
4827,54450,1593,32541.65957,26303281.42
4828,54292,17405,35273.48056,26327353.86
4829,54422,1638,58104.71517,63871723.39
4830,54309,2896,44953.80947,39639387.2
4831,48143,9237,10032.07892,4181998.236
4832,54451,1500,50098.97361,36439868.89
4833,54329,17565,74813.59903,106283228.4
4834,54439,9157,107719.4429,159267062.8
4835,54316,4357,74401.35803,117693202.6
4836,49479,24876,148689.7245,258355421.2
4837,49477,25867,39043.49394,32048869.78
4838,67734,2144,44388.16235,38074511.52
4839,25923,4334,73981.75293,242682773.5
4840,25917,11907,102078.4242,373723861.9
4841,25899,12393,146037.8693,418952513.2
4842,25863,112,41741.07704,30309636.53
4843,25920,4510,63809.05429,149823693.9
4844,25927,1722,62661.14435,141765902.7
4845,25924,2559,100240.4784,240633081.1
4846,55593,2443,15136.7566,8361638.677
4847,77652,17351,48817.22086,50234084.64
4848,77654,20717,33271.29875,45383016.84
4849,77656,19196,66633.05939,83598122.7
4850,59557,19407,33679.66406,33522817.87
4851,59556,13002,86967.81486,97057688.05
4852,59555,18300,29278.032,34007737.66
4853,59558,15243,75541.72525,130628227.9
4854,45768,28875,48002.07762,69759328.59
4855,45770,27291,75966.63554,81055349.88
4856,45772,28701,53478.15428,76832318.65
4857,48431,22876,29977.07037,29496825.39
4858,55756,875,18465.88446,11585142.78
4859,29556,4625,99562.24951,352369061
4860,55758,15196,258646.4787,574172724.6
4861,55442,4726,62852.47988,79314848.52
4862,29581,1524,54524.87497,101518242.8
4863,29578,845,89974.1186,236823879.3
